GND,author,title,year,prob_to_read
129263486,"$Popp, Steffen (Hg.)",Spitzen. Gedichte. Fanbook. Hall of Fame. Hg. von Steffen Popp. Frankfurt am Main 2018.,,1.0
14184843X,"$Simm, Hans-Joachim (Hg.)",Deutsche Gedichte in einem Band. 1500 Gedichte von den Anfängen bis zur Gegenwart. Hg. von Hans-Joachim Simm. Frankfurt am Main 2009.,,1.0
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,1.0
118504177,"Arnim, Achim von",Lyrik,1806.0,1.0
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,1.0
118505602,"Bachmann, Ingeborg",Malina,1971.0,1.0
118509047,"Benn, Gottfried",Gedichte,1921.0,1.0
118509861,"Bernhard, Thomas",Frost,1963.0,1.0
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,1.0
118513931,"Bote, Hermann",Till Eulenspiegel,1510.0,1.0
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,1.0
118514768,"Brecht, Bertolt",Gedichte,1927.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118515055,"Brentano, Clemens",Gedichte,1810.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118519859,"Celan, Paul",Gedichte,1959.0,1.0
118521098,"Claudius, Matthias",Gedichte,1778.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118526162,"Doderer, Heimito von",Die Dämonen,1956.0,1.0
118680625,"Drach, Albert",Unsentimentale Reise. Ein Bericht,1966.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,1.0
118528661,"Ebner-Eschenbach, Marie v.",Krambambuli,1883.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,1.0
118530534,"Enzensberger, Hans Magnus",Gedichte,1976.0,1.0
118533886,"Fleißer, Marieluise",Pioniere in Ingolstadt,1928.0,1.0
118533908,"Fleming, Paul","Gedichte (Poetische Wälder, Oden, Sonette)",1642.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118536109,"Frisch, Max",Mein Name sei Gantenbein,1964.0,1.0
11853856X,"George, Stefan",Gedichte,1901.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118540238,"Goethe, Johann Wolfgang",Gedichte (aus allen Hauptphasen),1791.0,1.0
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
118542192,"Grillparzer, Franz",Der arme Spielmann,1848.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118543032,"Gryphius, Andreas",Catharina von Georgien,1657.0,1.0
118543032,"Gryphius, Andreas",Gedichte,1640.0,1.0
118543202,"Günderrode, Karoline von",Gedichte,1793.0,1.0
118545574,"Handke, Peter",Wunschloses Unglück,1972.0,1.0
118546937,"Hauptmann, Gerhart",Vor Sonnenaufgang,1889.0,1.0
118811134,"Haushofer, Marlen",Die Wand,1963.0,1.0
118548018,"Heine, Heinrich",Gedichte,1827.0,1.0
11855042X,"Hesse, Hermann",Der Steppenwolf,1927.0,1.0
118552465,"Hoffmann, E.T.A.",Der Sandmann,1816.0,1.0
118552759,"Hofmannsthal, Hugo von",Gedichte,1902.0,1.0
118551981,"Hölderlin, Friedrich",Gedichte,1826.0,1.0
118553739,"Horvath, Ödon von",Geschichten aus dem Wienerwald,1931.0,1.0
118556894,"Jandl, Ernst",Lyrik,1963.0,1.0
119001802,"Jelinek, Elfriede",Die Kinder der Toten,1995.0,1.0
119001802,"Jelinek, Elfriede",Die Klavierspielerin,1983.0,1.0
11855817X,"Johnson, Uwe",Mutmaßungen über Jakob,1959.0,1.0
118559230,"Kafka, Franz",Der Prozess,1925.0,1.0
118559230,"Kafka, Franz",Die Verwandlung,1912.0,1.0
118776592,"Kaléko, Mascha",Lyrik,1954.0,1.0
11856109X,"Keller, Gottfried",Romeo und Julia auf dem Dorfe,1856.0,1.0
118563076,"Kleist, Heinrich von",Der zerbrochene Krug,1806.0,1.0
118563386,"Klopstock, Friedrich Gottlob",Gedichte,1764.0,1.0
118566288,"Kraus, Karl",Die letzten Tage der Menschheit,1915.0,1.0
118569880,"Lasker-Schüler, Else",Gedichte,1907.0,1.0
118572121,"Lessing, Gotthold Ephraim",Nathan der Weise,1779.0,1.0
118577166,"Mann, Thomas",Der Zauberberg,1924.0,1.0
118732404,"Mayröcker, Friederike",Lyrik,1973.0,1.0
118732404,"Mayröcker, Friederike",Reise durch die Nacht,1984.0,1.0
118581775,"Meyer, Conrad Ferdinand",Gedichte,1862.0,1.0
118584944,"Müller, Heiner",Die Hamletmaschine,1977.0,1.0
118585916,"Musil, Robert",Der Mann ohne Eigenschaften,1930.0,1.0
118587080,"Nestroy, Johann",Der Talisman,1840.0,1.0
118588893,Novalis,Gedichte,1799.0,1.0
118588893,Novalis,Heinrich von Ofterdingen,1802.0,1.0
118601024,"Rilke, Rainer Maria",Die Aufzeichnugen des Malte Laurids Brigge,1910.0,1.0
118601024,"Rilke, Rainer Maria",Lyrik ,1901.0,1.0
118603140,"Roth, Joseph",Hiob. Roman eines einfachen Mannes,1930.0,1.0
118603957,"Rühmkorf, Peter",Gedichte,1969.0,1.0
118604627,"Sachs, Nelly",Lyrik,1931.0,1.0
118607626,"Schiller, Friedrich",Gedichte,1782.0,1.0
118607626,"Schiller, Friedrich",Kabale und Liebe,1784.0,1.0
118609807,"Schnitzler, Arthur",Leutnant Gustl,1901.0,1.0
119355221,"Schwab, Werner",Die Präsidentinnen,1990.0,1.0
118612743,"Seghers, Anna",Transit,1944.0,1.0
118618156,"Stifter, Adalbert",Bunte Steine,1853.0,1.0
118618725,"Storm, Theodor",Der Schimmelreiter,1888.0,1.0
118623575,"Trakl, Georg",Gedichte,1913.0,1.0
118628860,"Walser, Robert",Geschichten,1914.0,1.0
118807234,"Wiener, Oswald",die verbesserung von mitteleuropa. roman,1969.0,1.0
118634666,"Wolf, Christa",Nachdenken über Christa T. ,1968.0,1.0
118637479,"Zweig, Stefan",Schachnovelle,1942.0,1.0
