GND,author,title,year,prob_to_read
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,1.0
118502786,"Andersch, Alfred",Sansibar oder der letzte Grund,1957.0,1.0
118502786,"Andersch, Alfred",Winterspelt,1974.0,1.0
118503111,"Angelus, Silesius",Der Cherubinische Wandersmann,1675.0,1.0
118505602,"Bachmann, Ingeborg",Das dreißigste Jahr,1961.0,1.0
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,1.0
118505602,"Bachmann, Ingeborg",Simultan,1972.0,1.0
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,1.0
118509861,"Bernhard, Thomas",Frost,1963.0,1.0
118509861,"Bernhard, Thomas",Korrektur,1975.0,1.0
118510649,"Bichsel, Peter",Eigentlich möchte Frau Blum den Milchmann kennen lernen,1964.0,1.0
118512161,"Bobrowski, Johannes",Levins Mühle,1964.0,1.0
118512676,"Böll, Heinrich",Ansichten eines Clowns,1963.0,1.0
118512676,"Böll, Heinrich",Die verlorene Ehre der Katharina Blum ,1974.0,1.0
118512676,"Böll, Heinrich",Kurzgeschichten / Erzählungen,1951.0,1.0
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,1.0
118513451,"Borchert, Wolfgang",Kurzgeschichten,1946.0,1.0
118514210,"Bräker, Ulrich",Der arme Mann im Tockenburg,1788.0,1.0
118514768,"Brecht, Bertolt",Bertolt Brechts Hauspostille,1927.0,1.0
118514768,"Brecht, Bertolt",Der gute Mensch von Sezuan,1953.0,1.0
118514768,"Brecht, Bertolt",Der Kaukasische Kreidekreis,1949.0,1.0
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118514776,"Bredel, Willi",Die Väter,1941.0,1.0
118515055,"Brentano, Clemens",Gedichte,1810.0,1.0
118515055,"Brentano, Clemens",Geschichte vom braven Kasperl und dem schönen Annerl,1817.0,1.0
118515055,"Brentano, Clemens",Rheinmärchen,1846.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118516906,"Büchner, Georg",Leonce und Lena,1836.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118518801,"Canetti, Elias",Die Blendung,1935.0,1.0
118518801,"Canetti, Elias",Die gerettete Zunge. Geschichte einer Jugend,1977.0,1.0
118518801,"Canetti, Elias",Die Stimmen von Marrakesch,1967.0,1.0
118519859,"Celan, Paul",Mohn und Gedächtnis,1952.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,1.0
