GND,author,title,year,state,ID_orig
118500856,Aischylos,Orestie,-458,Rheinland-Pfalz,2687
118502786,Andersch,Sansibar oder Der letzte Grund,1957,Rheinland-Pfalz,2688
118504398,Arp,unbekannt,,Rheinland-Pfalz,2689
118512676,Böll,Ansichten eines Clowns,1963,Rheinland-Pfalz,2710
118512676,Böll,Die verlorene Ehre der Katharina Blum,1974,Rheinland-Pfalz,2712
118512676,Böll,Doktor Murkes gesammeltes Schweigen und andere Satiren,1958,Rheinland-Pfalz,2709
118512676,Böll,Gruppenbild mit Dame,1971,Rheinland-Pfalz,2711
118516906,Büchner,Dantons Tod,1835,Rheinland-Pfalz,2732
118516906,Büchner,Lenz,1839,Rheinland-Pfalz,2734
118516906,Büchner,Leonce und Lena,1836,Rheinland-Pfalz,2733
118516906,Büchner,Woyzeck,1879,Rheinland-Pfalz,2735
118517104,Bürger,Der Bauer an seinen Durchl. Tyrannen,1773,Rheinland-Pfalz,2736
118505602,Bachmann,Das Spiel ist aus [In: Anrufung des großen Bären],1956,Rheinland-Pfalz,2692
118505602,Bachmann,Die gestundete Zeit,1953,Rheinland-Pfalz,2690
118505602,Bachmann,Die große Fracht,1964,Rheinland-Pfalz,2694
118505602,Bachmann,Freies Geleit,1957,Rheinland-Pfalz,2693
118505602,Bachmann,Malina,1971,Rheinland-Pfalz,2695
118505602,Bachmann,Reklame [In: Anrufung des großen Bären],1956,Rheinland-Pfalz,2691
118505602,Bachmann,unbekannt,,Rheinland-Pfalz,2696
118829742,Becker,Irreführung der Behörden,1973,Rheinland-Pfalz,2698
118829742,Becker,Jakob der Lügner,1969,Rheinland-Pfalz,2697
118508091,Becker,unbekannt,,Rheinland-Pfalz,2699
118509047,Benn,Astern,1936,Rheinland-Pfalz,2701
118509047,Benn,Reisen,1950,Rheinland-Pfalz,2702
118509047,Benn,Schöne Jugend,1912,Rheinland-Pfalz,2700
118509047,Benn,unbekannt,,Rheinland-Pfalz,2703
118510649,Bichsel,Ein Tisch ist ein Tisch,,Rheinland-Pfalz,2705
118510649,Bichsel,San Salvador,1963,Rheinland-Pfalz,2704
118510789,Biermann,unbekannt,,Rheinland-Pfalz,2706
118512161,Bobrowski,Kindheit,,Rheinland-Pfalz,2707
118512161,Bobrowski,Sprache,,Rheinland-Pfalz,2708
118513451,Borchert,Das Brot,1947,Rheinland-Pfalz,2714
118513451,Borchert,Draußen vor der Tür,1947,Rheinland-Pfalz,2713
11851587X,Brückner,"Wenn du geredet hättest, Desdemona. Ungehaltene Reden ungehaltener Frauen",1983,Rheinland-Pfalz,2731
118514768,Brecht,Ballade von  der Hanna Cash,1926,Rheinland-Pfalz,2715
118514768,Brecht,Coriolan,1964,Rheinland-Pfalz,2724
118514768,Brecht,Die Dreigroschenoper,1928,Rheinland-Pfalz,2717
118514768,Brecht,Die heilige Johanna der Schlachthöfe,1931,Rheinland-Pfalz,2718
118514768,Brecht,Geschichten vom Herrn Keuner,1948,Rheinland-Pfalz,2722
118514768,Brecht,Herr Puntila und sein Knecht Matti,1950,Rheinland-Pfalz,2723
118514768,Brecht,Leben des Galilei,1943,Rheinland-Pfalz,2720
118514768,Brecht,Mutter Courage und ihre Kinder,1941,Rheinland-Pfalz,2719
118514768,Brecht,unbekannt,,Rheinland-Pfalz,2725
118514768,Brecht,Und was bekam des Soldaten Weib?,1943,Rheinland-Pfalz,2721
118514768,Brecht,Vom armen B B,1926,Rheinland-Pfalz,2716
118515055,Brentano,Abendständchen,1802,Rheinland-Pfalz,2726
118515055,Brentano,Der Spinnerin Nachtlied,1818,Rheinland-Pfalz,2727
118515055,Brentano,unbekannt,,Rheinland-Pfalz,2728
118515470,Brinkmann,unbekannt,,Rheinland-Pfalz,2729
118515586,Brockes,Kirschblüte bei der Nacht,1727,Rheinland-Pfalz,2730
118518542,Calvino,Wenn ein Reisender...,1979,Rheinland-Pfalz,2737
118519859,Celan,Todesfuge,1948,Rheinland-Pfalz,2738
118521098,Claudius,unbekannt,,Rheinland-Pfalz,2739
118521349,Cocteau,La voix humaine,1930,Rheinland-Pfalz,2740
118526200,Döblin,Berlin Alexanderplatz,1929,Rheinland-Pfalz,2743
118527908,Dürrenmatt,Der Besuch der alten Dame,1956,Rheinland-Pfalz,2745
118527908,Dürrenmatt,Der Richter und sein Henker,1950,Rheinland-Pfalz,2744
118527908,Dürrenmatt,Die Physiker,1962,Rheinland-Pfalz,2746
118630962,Dahl,Matilda,1988,Rheinland-Pfalz,1837
118516388,de Bruyn,Zwischenbilanz,1992,Rheinland-Pfalz,2741
118631551,der Gartenaere,Meier Helmbrecht,1250,Rheinland-Pfalz,2742
11852884X,Eco,Der Name der Rose,1982,Rheinland-Pfalz,2747
118529374,Eich,unbekannt,,Rheinland-Pfalz,2748
118530534,Enzensberger,An alle Fernsprechteilnehmer,,Rheinland-Pfalz,2749
118530534,Enzensberger,Ins Lesebuch für die Oberstufe,,Rheinland-Pfalz,2750
118531395,Euripides,Die Troerinnen,-415,Rheinland-Pfalz,2751
118534262,Fontane,Effi Briest,1894,Rheinland-Pfalz,2753
118534262,Fontane,Schach von Wuthenow,1882,Rheinland-Pfalz,2752
118534262,Fontane,Stechlin,1897,Rheinland-Pfalz,2754
118534262,Fontane,unbekannt,,Rheinland-Pfalz,2755
118534734,Frank,Das Tagebuch der Anne Frank,1950,Rheinland-Pfalz,2756
118536109,Frisch,Andorra,1961,Rheinland-Pfalz,2761
118536109,Frisch,Biedermann und die Brandstifter,1958,Rheinland-Pfalz,2760
118536109,Frisch,Homo Faber,1957,Rheinland-Pfalz,2759
118536109,Frisch,Mein Name sei Gantenbein,1964,Rheinland-Pfalz,2762
118536109,Frisch,Stiller,1954,Rheinland-Pfalz,2758
11853856X,George,unbekannt,,Rheinland-Pfalz,2763
118541579,Grass,Die Blechtrommel,1959,Rheinland-Pfalz,2764
118541579,Grass,Die Plebejer proben den Aufstand,1966,Rheinland-Pfalz,2766
