GND,author,title,year,prob_to_read
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,1.0
118650130,Aristoteles,Poetik,-335.0,1.0
118504177,"Arnim, Achim von",Isabella von Ägypten ,1812.0,1.0
118504177,"Arnim, Achim von",Lyrik,1806.0,1.0
118504533,"Artmann, Hans Carl",Gedichte,1961.0,1.0
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,1.0
118505602,"Bachmann, Ingeborg",Malina,1971.0,1.0
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,1.0
118508091,"Becker, Jürgen",Lyrik,1977.0,1.0
118509047,"Benn, Gottfried",Gedichte,1921.0,1.0
118509047,"Benn, Gottfried",Probleme der Lyrik,1951.0,1.0
118509861,"Bernhard, Thomas",Auslöschung,1986.0,1.0
118509861,"Bernhard, Thomas",Die Macht der Gewohnheit,1974.0,1.0
11548048X,"Beyer, Marcel",Flughunde,1995.0,1.0
11548048X,"Beyer, Marcel",Lyrik,1994.0,1.0
118510665,"Bidermann, Jakob",Cenodoxus,1602.0,1.0
118512161,"Bobrowski, Johannes",Gedichte,1941.0,1.0
118513435,"Borchardt, Rudolf",Lyrik,1911.0,1.0
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,1.0
118514512,"Brasch, Thomas",Lyrik,1973.0,1.0
118514768,"Brecht, Bertolt",Gedichte,1927.0,1.0
118514768,"Brecht, Bertolt",Kleines Organon für das Theater,1948.0,1.0
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118515055,"Brentano, Clemens",Gedichte,1810.0,1.0
118515055,"Brentano, Clemens",Geschichte vom braven Kasperl und dem schönen Annerl,1817.0,1.0
118515470,"Brinkmann, Rolf Dieter",Gedichte,1958.0,1.0
118515551,"Broch, Hermann",Die Schlafwandler,1931.0,1.0
118515586,"Brockes, Barthold Heinrich",Irdisches Vergnügen in Gott,1721.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118517104,"Bürger, Gottfried August",Lyrik,1771.0,1.0
118517880,"Busch, Wilhelm",Lyrik,1870.0,1.0
118518801,"Canetti, Elias",Die Blendung,1935.0,1.0
118519859,"Celan, Paul",Gedichte,1959.0,1.0
118520040,"Chamisso, Adelbert von",Lyrik,1810.0,1.0
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,1.0
118526200,"Döblin, Alfred",An Romanautoren und ihre Kritiker. Berliner Programm,1913.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,1.0
118528661,"Ebner-Eschenbach, Marie v.",Meine Kinderjahre,1905.0,1.0
118529374,"Eich, Günter",Die Mädchen aus Viterbo,1960.0,1.0
118529374,"Eich, Günter",Gedichte,1951.0,1.0
118529374,"Eich, Günter",Träume,1951.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118529390,"Eichendorff, Joseph von",Das Marmorbild,1819.0,1.0
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,1.0
118529587,"Einstein, Carl",Bebuquin,1912.0,1.0
118530534,"Enzensberger, Hans Magnus",Baukasten zu einer Theorie der Medien,1971.0,1.0
118530534,"Enzensberger, Hans Magnus",Gedichte,1976.0,1.0
118532715,"Feuchtwanger, Lion",Erfolg,1930.0,1.0
118532839,"Fichte, Hubert",Die Palette,1968.0,1.0
118533886,"Fleißer, Marieluise",Fegefeuer in Ingolstadt,1929.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118534262,"Fontane, Theodor",Lyrik,1859.0,1.0
118536109,"Frisch, Max",Mein Name sei Gantenbein,1964.0,1.0
118538322,"Gellert, Christian Fürchtegott",Die zärtlichen Schwestern,1747.0,1.0
11853856X,"George, Stefan",Gedichte,1901.0,1.0
11884556X,"Gernhardt, Robert",Gedichte,1972.0,1.0
118690949,"Gerstenberg, Heinrich Wilhelm von",Ugolino,1768.0,1.0
118540238,"Goethe, Johann Wolfgang",Aus meinem Leben. Dichtung und Wahrheit,1811.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118540238,"Goethe, Johann Wolfgang",Gedichte (aus allen Hauptphasen),1791.0,1.0
118540238,"Goethe, Johann Wolfgang",Götz von Berlichingen,1773.0,1.0
