GND,author,title,year,prob_to_read
1023005093,"$Beers, Anna (Hg.)",Frauen / Lyrik. Gedichte in deutscher Sprache ,2020.0,1.0
120309297,"$Detering, Heinrich (Hg.)",Reclams großes Buch der deutschen Gedichte,2007.0,1.0
118501232,"Aichinger, Ilse",Der Gefesselte,1951.0,1.0
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,1.0
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,1.0
118504185,"Arnim, Bettine von",Goethes Briefwechsel mit einem Kinde,1835.0,1.0
118650769,"Aston, Louise Franziska",Aus dem Leben einer Frau,1847.0,1.0
118829211,"Ausländer, Rose",Gedichte,1945.0,1.0
118829211,"Ausländer, Rose",Ins Leben,1939.0,1.0
118505602,"Bachmann, Ingeborg",Anrufung des Großen Bären,1956.0,1.0
118505602,"Bachmann, Ingeborg",Das Spiel ist aus,1956.0,1.0
118505602,"Bachmann, Ingeborg",Der gute Gott von Manhattan,1958.0,1.0
118505602,"Bachmann, Ingeborg",Gedichte,1950.0,1.0
118505602,"Bachmann, Ingeborg",Keine Delikatessen,1963.0,1.0
118505602,"Bachmann, Ingeborg",Malina,1971.0,1.0
118653830,"Baum, Vicki",Menschen im Hotel,1929.0,1.0
118509047,"Benn, Gottfried",Gedichte,1921.0,1.0
118509047,"Benn, Gottfried",Kleine Aster,1912.0,1.0
118509047,"Benn, Gottfried",Nur zwei Dinge,1953.0,1.0
118509861,"Bernhard, Thomas",Alte Meister,1985.0,1.0
118514768,"Brecht, Bertolt",An die Nachgeborenen,1939.0,1.0
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,1.0
118514768,"Brecht, Bertolt",Erinnerung an die Marie A.,1927.0,1.0
118514768,"Brecht, Bertolt",Gedichte,1927.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118515586,"Brockes, Barthold Heinrich",Irdisches Vergnügen in Gott,1721.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118519859,"Celan, Paul",Fadensonnen,1968.0,1.0
118519859,"Celan, Paul",Gedichte,1959.0,1.0
118519859,"Celan, Paul",Todesfuge,1947.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118526634,"Domin, Hilde",Lyrik,1958.0,1.0
118526634,"Domin, Hilde",Nur eine Rose als Stütze,1959.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527533,"Droste-Hülshoff, Annette von","Gedichte, Balladen",1844.0,1.0
118527533,"Droste-Hülshoff, Annette von",Unruhe ,1816.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,1.0
118528661,"Ebner-Eschenbach, Marie v.",Das Gemeindekind,1887.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,1.0
118529390,"Eichendorff, Joseph von",Sehnsucht,1834.0,1.0
118533886,"Fleißer, Marieluise","Mehlreisende Frieda Geier. Roman vom Rauchen, Sporteln, Lieben und Verkaufen",1931.0,1.0
118533886,"Fleißer, Marieluise",Pioniere in Ingolstadt,1928.0,1.0
118533908,"Fleming, Paul",An sich,1640.0,1.0
118533908,"Fleming, Paul","Gedichte (Poetische Wälder, Oden, Sonette)",1642.0,1.0
118534262,"Fontane, Theodor",Der Stechlin,1897.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118536109,"Frisch, Max",Homo faber,1957.0,1.0
118536109,"Frisch, Max",Stiller,1954.0,1.0
11853856X,"George, Stefan",Der siebente Ring,1907.0,1.0
11853856X,"George, Stefan",Gedichte,1901.0,1.0
11853856X,"George, Stefan",Komm in den totgesagten park,1897.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118540238,"Goethe, Johann Wolfgang",Gedichte (aus allen Hauptphasen),1791.0,1.0
118540238,"Goethe, Johann Wolfgang",Römische Elegien,1795.0,1.0
118540238,"Goethe, Johann Wolfgang",West-östlicher Divan,1819.0,1.0
119501651,"Goetz, Rainald",Irre,1983.0,1.0
118696734,"Gottsched, Luise Adelgunde Victorie",Die Pietisterey im Fischbein-Rocke,1736.0,1.0
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
118541978,"Greiffenberg, Katharina von",Gedichte,1664.0,1.0
118541978,"Greiffenberg, Katharina von","Geistliche Sonette, Lieder und Gedichte",1662.0,1.0
