GND,author,title,year,prob_to_read
171990870,"$Brode, Hanspeter (Hg.)",Deutsche Lyrik. Eine Anthologie.,1990.0,1.0
118500775,"Adorno, Theodor W.",Rede über Lyrik und Gesellschaft,1957.0,0.25
118500856,Aischylos,Der gefesselte Prometheus,-470.0,0.3333333333333333
118500856,Aischylos,Die Perser,-472.0,0.3333333333333333
118500856,Aischylos,Orestie,-458.0,0.3333333333333333
118650130,Aristoteles,Poetik,-335.0,1.0
118504177,"Arnim, Achim von",Isabella von Ägypten ,1812.0,0.1666666666666666
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,0.2
118505602,"Bachmann, Ingeborg",Malina,1971.0,0.1111111111111111
118505602,"Bachmann, Ingeborg",Undine geht,1961.0,0.1111111111111111
118505955,"Bahr, Hermann",Die Überwindung des Naturalismus,1891.0,0.2
118509039,"Benjamin, Walter",Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit,1936.0,0.25
118509039,"Benjamin, Walter",Einbahnstraße,1928.0,0.25
118509039,"Benjamin, Walter",Städtebilder,1927.0,0.25
118509047,"Benn, Gottfried",Aprèslude,1955.0,0.3333333333333333
118509047,"Benn, Gottfried",Gehirne,1916.0,0.2
118509047,"Benn, Gottfried",Morgue,1912.0,0.3333333333333333
118509047,"Benn, Gottfried",Probleme der Lyrik,1951.0,0.25
118509047,"Benn, Gottfried",Statische Gedichte,1948.0,0.3333333333333333
118509047,"Benn, Gottfried",Zur Problematik des Dichterischen,1930.0,0.3333333333333333
118509861,"Bernhard, Thomas",Amras,1964.0,0.1111111111111111
118509861,"Bernhard, Thomas",Die Weltverbesserer,1979.0,0.125
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,0.125
118509861,"Bernhard, Thomas",Verstörung,1967.0,0.1666666666666666
118510665,"Bidermann, Jakob",Cenodoxus,1602.0,0.1666666666666666
118512161,"Bobrowski, Johannes",Schattenland Ströme,1962.0,0.1428571428571428
118512676,"Böll, Heinrich",Billard um halbzehn,1959.0,0.1666666666666666
118514644,"Braun, Volker",Bodenloser Satz,1988.0,0.1111111111111111
118514768,"Brecht, Bertolt",Baal,1922.0,0.3333333333333333
118514768,"Brecht, Bertolt",Bertolt Brechts Hauspostille,1927.0,0.3333333333333333
118514768,"Brecht, Bertolt",Buckower Elegien,1953.0,0.3333333333333333
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,0.3333333333333333
118514768,"Brecht, Bertolt",Kleines Organon für das Theater,1948.0,0.25
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,0.3333333333333333
118514768,"Brecht, Bertolt",Svendborger Gedichte,1939.0,0.3333333333333333
118515055,"Brentano, Clemens",Geschichte vom braven Kasperl und dem schönen Annerl,1817.0,0.1666666666666666
118515470,"Brinkmann, Rolf Dieter",Angriff aufs Monopol,1968.0,0.125
118515470,"Brinkmann, Rolf Dieter","Rom, Blicke",1979.0,0.1111111111111111
118515551,"Broch, Hermann",Die Schlafwandler,1931.0,0.25
118516906,"Büchner, Georg",Dantons Tod,1835.0,0.5
118516906,"Büchner, Georg",Lenz,1839.0,0.2
118516906,"Büchner, Georg",Woyzeck,1836.0,0.5
118517600,"Burger, Hermann",Diabelli,1979.0,0.1111111111111111
118517600,"Burger, Hermann",Die allmähliche Verfertigung der Idee beim Schreiben,1986.0,0.125
118517600,"Burger, Hermann",Schilten. Schulbericht zuhanden der Inspektorenkonferenz,1976.0,0.1111111111111111
118518801,"Canetti, Elias",Die gerettete Zunge. Geschichte einer Jugend,1977.0,0.1111111111111111
118519859,"Celan, Paul",Der Meridian,1960.0,0.25
118519859,"Celan, Paul",Die Niemandsrose,1963.0,0.1428571428571428
118519859,"Celan, Paul",Mohn und Gedächtnis,1952.0,0.1428571428571428
118520040,"Chamisso, Adelbert von",Peter Schlemihls wundersame Geschichte,1812.0,0.1666666666666666
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,0.25
118526200,"Döblin, Alfred",Der Bau des epischen Werks,1929.0,0.25
118526200,"Döblin, Alfred",Die Ermordung einer Butterblume,1913.0,0.2
118526162,"Doderer, Heimito von",Die Strudlhofstiege,1951.0,0.25
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,0.2
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,0.125
118529374,"Eich, Günter",Botschaften des Regens,1955.0,0.1428571428571428
118529374,"Eich, Günter",Der Schriftsteller vor der Realität,1956.0,0.25
118529390,"Eichendorff, Joseph von",Ahnung und Gegenwart,1815.0,0.3333333333333333
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,0.1666666666666666
118530534,"Enzensberger, Hans Magnus","Gemeinplätze, die Neueste Literatur betreffend",1968.0,0.125
118530534,"Enzensberger, Hans Magnus",Verteidigung der Wölfe,1957.0,0.1428571428571428
118531395,Euripides,Die Bakchen,-406.0,0.3333333333333333
