GND,author,title,year,prob_to_read
118501232,"Aichinger, Ilse",Die größere Hoffnung,1948.0,1.0
118650130,Aristoteles,Poetik,-335.0,1.0
118505602,"Bachmann, Ingeborg",Malina,1971.0,1.0
11850939X,"Bergengruen, Werner",Der Großtyrann und das Gericht,1935.0,1.0
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,1.0
11548048X,"Beyer, Marcel",Flughunde,1995.0,1.0
118512676,"Böll, Heinrich",Wanderer kommst du  nach Spa…,1950.0,1.0
118513451,"Borchert, Wolfgang",Draußen vor der Tür,1947.0,1.0
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,1.0
118514768,"Brecht, Bertolt",Kleines Organon für das Theater,1948.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
119491028,"Brussig, Thomas",Helden wie wir,1995.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118518801,"Canetti, Elias",Die Blendung,1935.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118532839,"Fichte, Hubert",Forschungsbericht,1981.0,1.0
118533886,"Fleißer, Marieluise",Pioniere in Ingolstadt,1928.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118536109,"Frisch, Max",Mein Name sei Gantenbein,1964.0,1.0
118540238,"Goethe, Johann Wolfgang",Aus meinem Leben. Dichtung und Wahrheit,1811.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118540238,"Goethe, Johann Wolfgang",Götz von Berlichingen,1773.0,1.0
118540238,"Goethe, Johann Wolfgang",Iphigenie auf Tauris,1787.0,1.0
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,1.0
118541013,"Gottsched, Johann Christoph",Der sterbende Cato,1732.0,1.0
118541013,"Gottsched, Johann Christoph",Versuch einer Critischen Dichtkunst,1730.0,1.0
118696734,"Gottsched, Luise Adelgunde Victorie",Die Pietisterey im Fischbein-Rocke,1736.0,1.0
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
118542192,"Grillparzer, Franz",König Ottokars Glück und Ende,1825.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118543032,"Gryphius, Andreas",Catharina von Georgien,1657.0,1.0
118543202,"Günderrode, Karoline von",Magie und Schicksal ,1805.0,1.0
118545574,"Handke, Peter",Publikumsbeschimpfung,1966.0,1.0
118546937,"Hauptmann, Gerhart",Die Weber,1892.0,1.0
118547445,"Hebbel, Friedrich",Maria Magdalena,1844.0,1.0
118547453,"Hebel, Johann Peter",Schatzkästlein des rheinischen Hausfreundes,1811.0,1.0
118840991,"Hein, Christoph",Horns Ende,1985.0,1.0
118549553,"Herder, Johann Gottfried",Journal meiner Reise im Jahr 1769,1769.0,1.0
118552465,"Hoffmann, E.T.A.",Der goldne Topf,1814.0,1.0
118552465,"Hoffmann, E.T.A.",Lebensansichten des Katers Murr,1820.0,1.0
118552759,"Hofmannsthal, Hugo von",Das Märchen der 672. Nacht,1895.0,1.0
118552759,"Hofmannsthal, Hugo von",Ein Brief (Chandosbrief),1902.0,1.0
118551981,"Hölderlin, Friedrich",Hyperion oder Der Eremit in Griechenland,1797.0,1.0
118553569,Horaz,Ars poetica (Die Dichtkunst),-23.0,1.0
118556673,"Jahnn, Hans Henny",Perrudja,1929.0,1.0
118557211,Jean Paul,Leben des Quintus Fixlein,1796.0,1.0
119001802,"Jelinek, Elfriede",Die Klavierspielerin,1983.0,1.0
11855817X,"Johnson, Uwe",Mutmaßungen über Jakob,1959.0,1.0
118559230,"Kafka, Franz",Der Prozess,1925.0,1.0
118559230,"Kafka, Franz",Die Verwandlung,1912.0,1.0
118559206,"Kästner, Erich",Fabian. Die Geschichte eines Moralisten,1929.0,1.0
11856109X,"Keller, Gottfried",Der grüne Heinrich,1854.0,1.0
118722123,"Keun, Irmgard",Das kunstseidene Mädchen,1932.0,1.0
118563076,"Kleist, Heinrich von",Der zerbrochene Krug,1806.0,1.0
118563076,"Kleist, Heinrich von",Die Marquise von O…,1808.0,1.0
118563076,"Kleist, Heinrich von",Prinz Friedrich von Homburg,1810.0,1.0
118563076,"Kleist, Heinrich von",Über das Marionettentheater,1810.0,1.0
118563300,"Klingemann, Ernst August Friedrich",Nachtwachen. Von Bonaventura,1804.0,1.0
