GND,author,title,year,prob_to_read
118501232,"Aichinger, Ilse",Der Gefesselte,1951.0,1.0
118504177 + 118515055,"Arnim, Achim von/ Brentano, Clemens (Hg.)",Des Knaben Wunderhorn. Alte deutsche Lieder,1806.0,1.0
118504185,"Arnim, Bettine von",Dies Buch gehört dem König,1843.0,1.0
118504185,"Arnim, Bettine von",Goethes Briefwechsel mit einem Kinde,1835.0,1.0
118650769,"Aston, Louise Franziska",Aus dem Leben einer Frau,1847.0,1.0
118505602,"Bachmann, Ingeborg",Malina,1971.0,1.0
118653830,"Baum, Vicki",Menschen im Hotel,1929.0,1.0
118509047,"Benn, Gottfried",Morgue,1912.0,1.0
118509861,"Bernhard, Thomas",Auslöschung,1986.0,1.0
118509861,"Bernhard, Thomas",Heldenplatz,1989.0,1.0
118510649,"Bichsel, Peter",Kindergeschichten,1969.0,1.0
118512676,"Böll, Heinrich",Die verlorene Ehre der Katharina Blum ,1974.0,1.0
118512676,"Böll, Heinrich",Wanderer kommst du  nach Spa…,1950.0,1.0
118514768,"Brecht, Bertolt",An die Nachgeborenen,1939.0,1.0
118514768,"Brecht, Bertolt",Bertolt Brechts Hauspostille,1927.0,1.0
118514768,"Brecht, Bertolt",Der Jasager und der Neinsager,1931.0,1.0
118514768,"Brecht, Bertolt",Die Dreigroschenoper,1928.0,1.0
118514768,"Brecht, Bertolt",Die Maßnahme,1931.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118515055,"Brentano, Clemens",Rheinmärchen,1846.0,1.0
118516906,"Büchner, Georg",Dantons Tod,1835.0,1.0
118516906,"Büchner, Georg",Lenz,1839.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118517600,"Burger, Hermann",Schilten. Schulbericht zuhanden der Inspektorenkonferenz,1976.0,1.0
118519859,"Celan, Paul",Todesfuge,1947.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118526200,"Döblin, Alfred",Die Ermordung einer Butterblume,1913.0,1.0
118526634,"Domin, Hilde",Nur eine Rose als Stütze,1959.0,1.0
118527533,"Droste-Hülshoff, Annette von",Der Knabe im Moor,1842.0,1.0
118527533,"Droste-Hülshoff, Annette von",Die Judenbuche. Sittengemälde aus dem gebirgichten Westfalen,1842.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Richter und sein Henker,1950.0,1.0
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,1.0
118529390,"Eichendorff, Joseph von",Das Marmorbild,1819.0,1.0
118529390,"Eichendorff, Joseph von",Mondnacht,1837.0,1.0
118529390,"Eichendorff, Joseph von",Sehnsucht,1834.0,1.0
118529390,"Eichendorff, Joseph von",Wünschelrute,1838.0,1.0
118552589,"Fallersleben, August Heinrich Hoffmann von",Das Lied der Deutschen,1841.0,1.0
118533886,"Fleißer, Marieluise","Mehlreisende Frieda Geier. Roman vom Rauchen, Sporteln, Lieben und Verkaufen",1931.0,1.0
118533886,"Fleißer, Marieluise",Pioniere in Ingolstadt,1928.0,1.0
118534262,"Fontane, Theodor",Die Brück am Tay,1880.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118534262,"Fontane, Theodor",Herr von Ribbeck auf Ribbeck im Havelland,1889.0,1.0
115651470,"Franck, Julia",Die Mittagsfrau,2007.0,1.0
118536109,"Frisch, Max",Homo faber,1957.0,1.0
11853856X,"George, Stefan",Hier schliesst das tor,1914.0,1.0
11853856X,"George, Stefan",Komm in den totgesagten park,1897.0,1.0
11884556X,"Gernhardt, Robert",Materialien zu einer Kritik der bekanntesten Gedichtform italienischen Ursprungs,1979.0,1.0
118540238,"Goethe, Johann Wolfgang",Das Göttliche,1783.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Erlkönig,1782.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie zweiter Teil ,1832.0,1.0
118540238,"Goethe, Johann Wolfgang",Götz von Berlichingen,1773.0,1.0
118540238,"Goethe, Johann Wolfgang",Novelle,1828.0,1.0
118540238,"Goethe, Johann Wolfgang",Prometheus,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Unterhaltungen deutscher Ausgewanderten,1795.0,1.0
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,1.0
119501651,"Goetz, Rainald",Irre,1983.0,1.0
119501651,"Goetz, Rainald",Subito,1983.0,1.0
118696734,"Gottsched, Luise Adelgunde Victorie",Die Pietisterey im Fischbein-Rocke,1736.0,1.0
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
118541579,"Grass, Günter",Katz und Maus,1961.0,1.0
118542257 + 118542265,"Grimm, Jacob und Wilhelm",Kinder- und Hausmärchen,1812.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118543032,"Gryphius, Andreas",Absurda Comica oder Herr Peter Squentz,1657.0,1.0
118543032,"Gryphius, Andreas",Catharina von Georgien,1657.0,1.0
118543032,"Gryphius, Andreas",Es ist alles eitel,1637.0,1.0
118543032,"Gryphius, Andreas",Thränen des Vaterlands,1636.0,1.0
118543202,"Günderrode, Karoline von","Gedichte, Prosa, Briefe",1793.0,1.0
118994212,"Hahn, Ulla",Meine Loreley,1981.0,1.0
118545574,"Handke, Peter",Die Angst des Tormanns beim Elfmeter,1970.0,1.0
118545574,"Handke, Peter",Publikumsbeschimpfung,1966.0,1.0
118546864,"Hauff, Wilhelm",Das kalte Herz,1827.0,1.0
118546864,"Hauff, Wilhelm",Kalif Storch,1826.0,1.0
118546864,"Hauff, Wilhelm",Zwerg Nase,1826.0,1.0
118546937,"Hauptmann, Gerhart",Bahnwärter Thiel,1888.0,1.0
118546937,"Hauptmann, Gerhart",Die Weber,1892.0,1.0
118811134,"Haushofer, Marlen",Die Wand,1963.0,1.0
118547453,"Hebel, Johann Peter",Schatzkästlein des rheinischen Hausfreundes,1811.0,1.0
118548018,"Heine, Heinrich",Deutschland. Ein Wintermärchen*,1844.0,1.0
120448041,"Hermann, Judith","Sommerhaus, später",1998.0,1.0
11876442X,"Hoddis, Jakob van",Weltende,1911.0,1.0
118552465,"Hoffmann, E.T.A.",Der goldne Topf,1814.0,1.0
118552465,"Hoffmann, E.T.A.",Der Sandmann,1816.0,1.0
118706187,"Hoffmannswaldau, Christian Hoffmann von",Vergänglichkeit der Schönheit,1695.0,1.0
118828681,"Hofmann, Gert",Veilchenfeld,1986.0,1.0
118552759,"Hofmannsthal, Hugo von",Ballade des äußeren Lebens,1896.0,1.0
118552759,"Hofmannsthal, Hugo von",Ein Brief (Chandosbrief),1902.0,1.0
118552759,"Hofmannsthal, Hugo von",Elektra,1903.0,1.0
118552759,"Hofmannsthal, Hugo von",Gestern,1891.0,1.0
118552759,"Hofmannsthal, Hugo von",Vorfrühling,1892.0,1.0
119535467,"Hoppe, Felicitas",Johanna,2006.0,1.0
119535467,"Hoppe, Felicitas","Paradiese, Übersee",2003.0,1.0
118553739,"Horvath, Ödon von",Geschichten aus dem Wienerwald,1931.0,1.0
118553739,"Horvath, Ödon von",Jugend ohne Gott,1937.0,1.0
118554190,"Huch, Ricarda",Alte und neue Gedichte,1920.0,1.0
118557211,Jean Paul,Leben des vergnügten Schulmeisterlein Maria Wutz in Auental,1793.0,1.0
119001802,"Jelinek, Elfriede",Die Klavierspielerin,1983.0,1.0
119001802,"Jelinek, Elfriede",Lust,1989.0,1.0
11855817X,"Johnson, Uwe",Mutmaßungen über Jakob,1959.0,1.0
118559230,"Kafka, Franz",Das Urteil,1912.0,1.0
118559230,"Kafka, Franz",Der Prozess,1925.0,1.0
118559230,"Kafka, Franz",Die Verwandlung,1912.0,1.0
118559230,"Kafka, Franz",Die Zürauer Aphorismen,1931.0,1.0
118776592,"Kaléko, Mascha",Möblierte Melancholie,1932.0,1.0
118776592,"Kaléko, Mascha",Zur Heimat erkor ich mir die Liebe,1974.0,1.0
118560328,"Karsch, Anna Louisa",Gedichte,1757.0,1.0
118560395,"Kaschnitz, Marie Luise",Das dicke Kind und andere Erzählungen,1952.0,1.0
118559206,"Kästner, Erich",Als ich ein kleiner Junge war,1957.0,1.0
118559206,"Kästner, Erich",Der Handstand auf der Loreley,1932.0,1.0
118559206,"Kästner, Erich",Fabian. Die Geschichte eines Moralisten,1929.0,1.0
118559206,"Kästner, Erich",Kennst du das Land …,1927.0,1.0
118559206,"Kästner, Erich",Sachliche Romanze,1928.0,1.0
11856109X,"Keller, Gottfried",Die Leute von Seldwyla,1856.0,1.0
118722123,"Keun, Irmgard",Das kunstseidene Mädchen,1932.0,1.0
118563076,"Kleist, Heinrich von",Der zerbrochene Krug,1806.0,1.0
118563076,"Kleist, Heinrich von",Michael Kohlhaas,1810.0,1.0
118563076,"Kleist, Heinrich von",Penthesilea,1808.0,1.0
118563076,"Kleist, Heinrich von",Über das Marionettentheater,1810.0,1.0
118564471,"Koeppen, Wolfgang",Tauben im Gras,1951.0,1.0
