GND,author,title,year,prob_to_read
106773801 + http://d-nb.info/gnd/120072106,"$Hay, Gerhard / v. Steinsdorff, Sibylle (Hg.)",Deutsche Lyrik vom Barock bis zur Gegenwart. Hg. von Gerhard Hay und Sibylle von Steinsdorff. München 1992.,,1.0
118650130,Aristoteles,Poetik,-335.0,1.0
118505955,"Bahr, Hermann",Das unrettbare Ich,1912.0,1.0
118829742,"Becker, Jurek",Jakob der Lügner,1969.0,1.0
118509039,"Benjamin, Walter",Der Erzähler,1936.0,1.0
118509047,"Benn, Gottfried",Doppelleben,1950.0,1.0
118509047,"Benn, Gottfried",Gedichte,1921.0,1.0
118509861,"Bernhard, Thomas",Auslöschung,1986.0,1.0
118512161,"Bobrowski, Johannes",Gedichte,1941.0,1.0
118512676,"Böll, Heinrich",Ansichten eines Clowns,1963.0,1.0
118513451,"Borchert, Wolfgang",Kurzgeschichten,1946.0,1.0
118514768,"Brecht, Bertolt",Kleines Organon für das Theater,1948.0,1.0
118514768,"Brecht, Bertolt",Leben des Galilei,1939.0,1.0
118514768,"Brecht, Bertolt",Mutter Courage und ihre Kinder,1938.0,1.0
118514768,"Brecht, Bertolt",Über reimlose Lyrik,1939.0,1.0
118515470,"Brinkmann, Rolf Dieter",Gedichte,1958.0,1.0
118516906,"Büchner, Georg",Der Hessische Landbote,1834.0,1.0
118516906,"Büchner, Georg",Woyzeck,1836.0,1.0
118519859,"Celan, Paul",Der Meridian,1960.0,1.0
118519859,"Celan, Paul",Gedichte,1959.0,1.0
118526200,"Döblin, Alfred",Berlin Alexanderplatz,1929.0,1.0
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,1.0
118530534,"Enzensberger, Hans Magnus","Gemeinplätze, die Neueste Literatur betreffend",1968.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118536109,"Frisch, Max",Stiller,1954.0,1.0
11853856X,"George, Stefan",Blätter für die Kunst,1892.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Gedichte (aus allen Hauptphasen),1791.0,1.0
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,1.0
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
118542192,"Grillparzer, Franz",Ein Bruderzwist in Habsburg,1848.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118543032,"Gryphius, Andreas",Gedichte,1640.0,1.0
118546937,"Hauptmann, Gerhart",Die Weber,1892.0,1.0
118547739 + 118551981 + 118607057,"Hegel, Georg Wilhelm Friedrich/Hölderlin, Friedrich/Schelling, Friedrich Wilhelm Joseph",Das älteste Systemprogramm des deutschen Idealismus,1917.0,1.0
118548018,"Heine, Heinrich",Deutschland. Ein Wintermärchen*,1844.0,1.0
118548018,"Heine, Heinrich",Gedichte,1827.0,1.0
118548018,"Heine, Heinrich",Ludwig Börne,1840.0,1.0
118549553,"Herder, Johann Gottfried",Auszug aus einem Briefwechsel über Ossian und die Lieder alter Völker,1773.0,1.0
118549553,"Herder, Johann Gottfried",Shakespeare,1773.0,1.0
11855042X,"Hesse, Hermann",Der Steppenwolf,1927.0,1.0
